Glenwood,Keg Creek Brewing Company,Keg Creek Brewing Company,https://maps.google.com/?cid=4627164064619721820,41.025758,-95.761162,http://www.kegcreekbrewing.com/
Glenwood,Quarterhouse Lounge & Grill,Quarthouse Lounge & Grill,https://maps.google.com/?cid=14006258721621518050,41.046911,-95.743433,
,
Silver City,Silver Spokes,Silver Spokes,https://maps.google.com/?cid=2665092443773351786,41.112759,-95.636985,http://www.silverspokes.com/
Silver City,The Hood,The Hood,https://maps.google.com/?cid=16762482281271568107,41.112764,-95.637287,
,
Henderson,Nothing?,places error for Nothing? in Henderson: no places found
,
Emerson,Old Road Cafe,Old Road Cafe & Bar,https://maps.google.com/?cid=12229219881989737945,41.017067,-95.402229,https://www.facebook.com/Old-Road-Cafe-Bar-101132348449360/
,
Red Oak,Stadium 34,Stadium 34,https://maps.google.com/?cid=1602297837240448097,41.026614,-95.218533,http://www.stadium34.com/
Red Oak,Red Oak Lanes,Red Oak Lanes,https://maps.google.com/?cid=991036203147487462,41.016846,-95.259365,
Red Oak,Williams Recreation Parlor,Williams Recreation Parlor,https://maps.google.com/?cid=13439913908395657422,41.008789,-95.228607,
Red Oak,"Five One 8, LLC",Five One 8,https://maps.google.com/?cid=9908485594088892960,41.009595,-95.227827,http://www.thefiveone8.com/
Red Oak,Rainbow Cafe,Rainbow Cafe,https://maps.google.com/?cid=3051972059555899970,41.005581,-95.232072,
,
Elliot,None,Elliott,https://maps.google.com/?cid=10122122061272377680,41.149158,-95.163881,
,
Griswold,Dusty's Place,Dusty's Place,https://maps.google.com/?cid=11031143716499908519,41.234444,-95.143611,https://www.facebook.com/Dustys-Place-319515869223/
Griswold,Rocket Joes,Rocket Joe's,https://maps.google.com/?cid=10248191024503480716,41.234883,-95.143259,
Griswold,Griswold Golf & Country Club,Griswold Golf Club,https://maps.google.com/?cid=1419794271714414740,41.247669,-95.118973,http://www.griswoldgolf.com/
Griswold,Uno Moss,Uno Moss,https://maps.google.com/?cid=2999342563469476133,41.234896,-95.143290,https://www.facebook.com/UnoMossBar/?mibextid=LQQJ4d
Griswold,The Bus Stop Sports Bar,The Bus Stop Sports Bar,https://maps.google.com/?cid=7195831404237022600,41.234550,-95.140488,https://www.facebook.com/The-Bus-Stop-Sports-Bar-226383634072525/
Griswold,east of omaho,East of Omaha,https://maps.google.com/?cid=8243635516978677907,41.234550,-95.141548,https://eastofomaha.com/
,
Lewis,Lewis Fire Department,Lewis Fire Department,https://maps.google.com/?cid=3181178110456108048,41.305989,-95.088811,
Lewis,Big Daddy's,Big Daddys,https://maps.google.com/?cid=7233250091723010164,28.132536,-80.638993,
,
Atlantic,Atlantic Golf & Country Club,Atlantic Golf & Country Club,https://maps.google.com/?cid=455825997826255802,41.384464,-95.014831,http://www.theagcc.com/
Atlantic,"Plaza Azteca, Inc.",Plaza Azteca,https://maps.google.com/?cid=11024006258212421378,41.407576,-95.013294,https://www.plazaaztecaatlantic.com/
Atlantic,Rumors Lounge,Rumors Lounge,https://maps.google.com/?cid=12689020588892884489,41.400588,-94.984703,https://www.facebook.com/Rumors-Bar-and-Grill-330326907358461/
Atlantic,Xu's Golden Dragon,Xu's Golden Dragon Chinese Restaurant,https://maps.google.com/?cid=5907470034932490636,41.405596,-95.012741,https://xusgoldendragonia.com/
Atlantic,Rancho Grande,"Rancho Grande Mexican Restaurant Atlantic, Iowa",https://maps.google.com/?cid=8278491381668972461,41.404405,-95.020076,https://www.ranchograndeatlantic.com/
Atlantic,Nishna Hills Golf Club,Nishna Hills Golf Club,https://maps.google.com/?cid=3379705789328776198,41.397205,-94.991893,https://nishnahillsgolf.com/
Atlantic,Elbow Room,Elbow Room,https://maps.google.com/?cid=14698441857004499411,41.407899,-95.011995,https://elbowroomiowa.com/
Atlantic,Desperados,Desperados,https://maps.google.com/?cid=10279971266673975534,41.405913,-95.011169,
Atlantic,That's So ATEies,That’s So ATEies,https://maps.google.com/?cid=13971322226450787286,41.404236,-94.985636,
Atlantic,Fireside Lounge,Fireside Lounge,https://maps.google.com/?cid=1999781817197966319,41.404426,-95.020203,
,
Wiota,Wiota Steakhouse & Lounge,Wiota Steakhouse & Lounge,https://maps.google.com/?cid=17768091980854230712,41.401345,-94.887368,https://www.facebook.com/Wiota-Steakhouse-898314870202015/
,
Cumberland,Middle of Nowhere,Middle of Nowhere,https://maps.google.com/?cid=10526499468683794866,41.272766,-94.870125,
,
Massena,Massena Fire Department Foundation,Massena Volunteer Fire Department,https://maps.google.com/?cid=18009236629137497829,41.253510,-94.769209,https://m.facebook.com/mfdfire/
Massena,Main Street Bar & Grill,Main Street Bar & Grill,https://maps.google.com/?cid=16318230510815362245,41.252303,-94.769239,
,
Fontanelle,Rustic Tap,Rustic Tap,https://maps.google.com/?cid=2688441256273496263,41.290375,-94.563054,
Fontanelle,Wreckers or Checkers,Wreckers Or Checkers Bar,https://maps.google.com/?cid=13051002544378849826,41.290656,-94.562086,https://www.facebook.com/vaneaton31/
,
Greenfield,Olive Branch Family Restaurant,Olive Branch,https://maps.google.com/?cid=6417397334918527861,41.304809,-94.459932,
Greenfield,Greenfield Bowl,Greenfield Bowl,https://maps.google.com/?cid=9879698899559126123,41.305234,-94.459166,
Greenfield,LOS ALTOS DE JALISCO,Los Altos Mexican Restaurant,https://maps.google.com/?cid=979394274997119862,41.310981,-94.453066,http://www.menulosaltos.com/
Greenfield,Hotel Greenfield,Hotel Greenfield,https://maps.google.com/?cid=18428806398406654307,41.304938,-94.459753,http://www.visithotelgreenfield.com/
